"zOTU" "Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"69" "67a5c29ddb5d1eeda2b8780bb4694235" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Clostridiales" "f__Lachnospiraceae_[XIV]" "g__Lachnoanaerobaculum" ""
"70" "29fbc7e5021229480248fa7466a499a2" "k__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Lactobacillales" "f__Aerococcaceae" "g__Abiotrophia" "s__defectiva"
"71" "ca9c66d47347c03d0343d6fe03ed8636" "k__Bacteria" "p__Proteobacteria" "c__Gammaproteobacteria" "o__Pasteurellales" "f__Pasteurellaceae" "g__Haemophilus" ""
"72" "7e87735c204e7966d544fda276496db7" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Clostridiales" "f__Lachnospiraceae_[XIV]" "g__Stomatobaculum" ""
"73" "ca6e8c9e4b092b9e0eb5f3cb54ffe8fc" "k__Bacteria" "p__Proteobacteria" "c__Betaproteobacteria" "o__Neisseriales" "f__Neisseriaceae" "g__Neisseria" "(s__flavescens/s__subflava)"
"74" "153a1c462f6c9cc86cb69c231e968272" "k__Bacteria" "p__Proteobacteria" "c__Gammaproteobacteria" "o__Pasteurellales" "f__Pasteurellaceae" "g__Haemophilus" "(s__parahaemolyticus/s__paraphrohaemolyticus/s__sputorum)"
"75" "f8bcddaea88eb790743420346bb1bc80" "k__Bacteria" "p__Actinobacteria" "c__Actinobacteria" "o__Actinomycetales" "f__Micrococcaceae" "g__Rothia" "s__aeria"
"76" "8048c6d48b7eb0a432dc4aa28e73ecce" "k__Bacteria" "p__Proteobacteria" "c__Betaproteobacteria" "o__Neisseriales" "f__Neisseriaceae" "" ""
"77" "88b25c8fe9e9bd67a2273e89f875a88e" "k__Bacteria" "p__Bacteroidetes" "c__Bacteroidia" "o__Bacteroidales" "f__Prevotellaceae" "g__Prevotella" ""
"78" "ca070986833cb76ab84070eb40df1975" "k__Bacteria" "p__Fusobacteria" "c__Fusobacteriia" "o__Fusobacteriales" "f__Leptotrichiaceae" "g__Leptotrichia" "s__sp._oral_taxon_215"
"79" "37ab4ef1ea2e1b3c05fc73c9da192b05" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Clostridiales" "f__Lachnospiraceae_[XIV]" "g__Oribacterium" "s__asaccharolyticum"
"80" "ba430d5e27861988066538a27c3742d0" "k__Bacteria" "p__Fusobacteria" "c__Fusobacteriia" "o__Fusobacteriales" "f__Leptotrichiaceae" "g__Leptotrichia" "s__sp._oral_taxon_221"
"81" "b022b5312f30be684bdd2cc66030dea5" "k__Bacteria" "p__Firmicutes" "c__Negativicutes" "o__Selenomonadales" "f__Veillonellaceae" "g__Veillonella" "s__sp._oral_taxon_780"
"82" "75a3e20e916ee5ec7dceae34a1bc0209" "k__Bacteria" "p__Actinobacteria" "c__Actinobacteria" "o__Actinomycetales" "f__Actinomycetaceae" "g__Actinomyces" ""
"83" "c36c7aa5e6c47fc763828a8add383940" "k__Bacteria" "p__Proteobacteria" "c__Gammaproteobacteria" "o__Pasteurellales" "f__Pasteurellaceae" "g__Haemophilus" "s__parainfluenzae"
"84" "35ffcc3b809d667286737d79670b8de5" "k__Bacteria" "p__Actinobacteria" "c__Actinobacteria" "o__Bifidobacteriales" "f__Bifidobacteriaceae" "g__Bifidobacterium" "(s__breve/s__longum)"
"85" "052510a5ed0bc73052e812a6da0e9880" "k__Bacteria" "p__Bacteroidetes" "c__Bacteroidia" "o__Bacteroidales" "f__Prevotellaceae" "g__Alloprevotella" "s__tannerae"
"86" "455219eeb206cd432bf64f51159e0b4c" "k__Bacteria" "p__Actinobacteria" "c__Actinobacteria" "o__Corynebacteriales" "f__Corynebacteriaceae" "g__Corynebacterium" "s__durum"
"87" "09f9294499192d4eecf29e85501cc425" "k__Bacteria" "p__Bacteroidetes" "c__Flavobacteriia" "o__Flavobacteriales" "f__Flavobacteriaceae" "g__Bergeyella" "s__sp._oral_taxon_322"
"88" "cdf14d2fed157f8032715a22d3bf4573" "k__Bacteria" "p__Bacteroidetes" "c__Bacteroidia" "o__Bacteroidales" "f__Prevotellaceae" "g__Prevotella" "s__nigrescens"
"89" "d7926eba30ca0f01bac6fc5d090e9ab9" "k__Bacteria" "p__Bacteroidetes" "c__Flavobacteriia" "o__Flavobacteriales" "f__Flavobacteriaceae" "g__Capnocytophaga" "s__leadbetteri"
"90" "485b61658eddfbbe67e757221b0d8ab6" "k__Bacteria" "p__Bacteroidetes" "c__Bacteroidia" "o__Bacteroidales" "f__Prevotellaceae" "g__Prevotella" "s__shahii"
"91" "e760971780dcb309a237f68058c31e6d" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Clostridiales" "f__Ruminococcaceae" "g__Ruminococcaceae_[G-2]" "s__sp._oral_taxon_085"
"92" "f4e78e2e397dc8bd3ca2f87c245a8773" "k__Bacteria" "p__Fusobacteria" "c__Fusobacteriia" "o__Fusobacteriales" "f__Fusobacteriaceae" "g__Fusobacterium" ""
"93" "22c58f8f9f154f1b7c17f00f75e5c700" "k__Bacteria" "p__Bacteroidetes" "c__Bacteroidia" "o__Bacteroidales" "f__Prevotellaceae" "g__Prevotella" ""
"94" "5d047879489ed3ab2b46680099f20df7" "k__Bacteria" "p__Fusobacteria" "c__Fusobacteriia" "o__Fusobacteriales" "f__Fusobacteriaceae" "g__Fusobacterium" ""
"95" "c7198396ac7c68ffc7abd490b2d86d00" "k__Bacteria" "p__Bacteroidetes" "c__Bacteroidia" "o__Bacteroidales" "f__Prevotellaceae" "g__Prevotella" ""
"96" "e3f6085120269cc587278b4f3486c200" "k__Bacteria" "p__Bacteroidetes" "c__Bacteroidia" "o__Bacteroidales" "f__Prevotellaceae" "g__Prevotella" ""
"97" "221dbaf580e1944a357a16526a4ca143" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Clostridiales" "f__Lachnospiraceae_[XIV]" "g__Butyrivibrio" "s__sp._oral_taxon_455"
"98" "3eb129ba3c12a44620647798dde41194" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Clostridiales" "f__Ruminococcaceae" "g__Ruminococcaceae_[G-1]" "s__sp._oral_taxon_075"
"99" "685b8b482de17e1f4b38ac8c79b4e65f" "k__Bacteria" "p__Fusobacteria" "c__Fusobacteriia" "o__Fusobacteriales" "f__Leptotrichiaceae" "g__Leptotrichia" "s__sp._oral_taxon_218"
"100" "a2cec0e8d7fe26f1b4376f3692c2c51e" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Clostridiales" "f__Lachnospiraceae_[XIV]" "g__Catonella" "s__morbi"
"101" "6486ae2bec584bfe836cb03a47fe8e4d" "k__Bacteria" "p__Actinobacteria" "c__Actinobacteria" "o__Actinomycetales" "f__Micrococcaceae" "g__Rothia" "s__mucilaginosa"
"102" "dcb780205dff9735d08f1a23c93470cf" "k__Bacteria" "p__Firmicutes" "c__Negativicutes" "o__Selenomonadales" "f__Veillonellaceae" "g__Selenomonas" ""
"103" "107c6dda494661550b427c16a1918e28" "k__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Lactobacillales" "f__Carnobacteriaceae" "g__Granulicatella" "s__adiacens"
"104" "eae880eaa9c99650e399d9b4eb5dd3b0" "k__Bacteria" "p__Firmicutes" "c__Negativicutes" "o__Selenomonadales" "f__Veillonellaceae" "g__Veillonella" ""
